Timestamp;unix data;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price
24.05.2017;1495584000;2265.9;2481.75;2264.64;2420.29;22144.6;52782234.68;2383.53
25.05.2017;1495670400;2420.29;2760.1;2221;2292.53;32964.76;83028907.05;2518.72
26.05.2017;1495756800;2277.01;2599.12;2060;2279.82;28326.82;66466402.58;2346.41
27.05.2017;1495843200;2280.7;2339.94;1850;2042;26216.28;54113571.78;2064.12
28.05.2017;1495929600;2042.89;2313.96;2041.48;2178.81;15375.22;33655092.72;2188.92
29.05.2017;1496016000;2172.54;2350;2110;2292.1;12129.28;27376000.71;2257.02
30.05.2017;1496102400;2290.18;2339.08;2160;2203.51;13888.85;31434633.58;2263.3
31.05.2017;1496188800;2201.7;2334;2154.28;2298.01;16279.29;36862481.13;2264.38
01.06.2017;1496275200;2298.01;2456.39;2296.81;2413.63;18401.66;43990417.87;2390.57
02.06.2017;1496361600;2413.58;2489;2370.03;2488.94;12428.7;30186115.46;2428.74
03.06.2017;1496448000;2488.94;2584.34;2445;2540.94;10810.58;27295110.64;2524.85
04.06.2017;1496534400;2538.1;2569;2460;2530.27;8828.62;22263365.05;2521.73
05.06.2017;1496620800;2530.27;2699.35;2525.28;2698;12221.44;31919212.32;2611.74
06.06.2017;1496707200;2698;2933;2689.4;2880.74;26695.67;75249106.78;2818.78
07.06.2017;1496793600;2875.71;2893.28;2612.5;2683.03;16967.04;47205426.44;2782.18
08.06.2017;1496880000;2680.24;2815;2613.13;2806;13251.41;36430027.3;2749.14
09.06.2017;1496966400;2805.46;2868.23;2780.43;2822.32;8036.31;22701156.24;2824.82
10.06.2017;1497052800;2818;2912.98;2800;2899.99;9593.36;27434766.12;2859.77
11.06.2017;1497139200;2899.01;2967.46;2861.53;2954.22;6830.61;19889995.68;2911.89
12.06.2017;1497225600;2954.23;2980;2480.03;2667.06;31534.95;85799286.22;2720.77
13.06.2017;1497312000;2656.97;2783.62;2638.62;2703.02;16275.83;44217458.2;2716.76
14.06.2017;1497398400;2705.99;2801;2320;2450;29478.82;76114991.86;2582.02
15.06.2017;1497484800;2451.42;2516.2;2120;2424.91;36751.09;84952914.56;2311.58
16.06.2017;1497571200;2424.96;2540;2307.66;2484.68;13802.39;33831741.34;2451.15
17.06.2017;1497657600;2484.68;2674.4;2420.53;2630;11142.99;28569796.41;2563.93
18.06.2017;1497744000;2630.06;2665;2460.62;2516.98;9424.23;24023680.66;2549.14
19.06.2017;1497830400;2516.98;2598;2480.96;2598;10570.67;27011860.51;2555.36
20.06.2017;1497916800;2598;2783;2581;2740;15891.7;42538164.74;2676.75
21.06.2017;1498003200;2734.03;2789;2611;2657.04;15676.32;42304860.31;2698.65
22.06.2017;1498089600;2658.67;2740;2594.61;2713.48;10792.79;28955845.86;2682.89
23.06.2017;1498176000;2713.48;2745;2657.46;2685.05;8232.48;22348019.56;2714.62
24.06.2017;1498262400;2685.05;2724.96;2512.13;2557.66;13342.82;34944802.73;2619
25.06.2017;1498348800;2557.66;2635.72;2432;2502.03;10339.57;26249953.89;2538.78
26.06.2017;1498435200;2502.26;2550.03;2315.01;2421.22;22094.21;54096000.65;2448.42
27.06.2017;1498521600;2421.21;2565;2291;2565;19129.6;45774590.05;2392.87
28.06.2017;1498608000;2565;2593;2468.01;2559.9;12274.55;31106035.77;2534.19
29.06.2017;1498694400;2550.99;2594.78;2500.31;2541.59;8125.38;20771078.34;2556.32
30.06.2017;1498780800;2538.41;2564.58;2451;2465.49;8715.72;21948643.03;2518.28
01.07.2017;1498867200;2465.48;2517.11;2390;2412.41;8885.89;21750491.24;2447.76
02.07.2017;1498953600;2421.3;2528.72;2374.34;2504.37;8744.53;21386273.68;2445.67
03.07.2017;1499040000;2504.81;2595;2472.68;2550.47;11520.71;29213705.74;2535.76
04.07.2017;1499126400;2540.07;2639.47;2540.07;2596.12;9662.76;25107482.88;2598.38
05.07.2017;1499212800;2594.52;2623;2530.1;2602.9;10882.84;27950344.7;2568.3
06.07.2017;1499299200;2598.37;2614;2522;2600.39;8333.98;21529601.71;2583.35
07.07.2017;1499385600;2599.01;2605;2475;2501.46;9430.62;23870564.36;2531.18
08.07.2017;1499472000;2501.46;2555;2462;2550.07;5405.89;13584489.52;2512.9
09.07.2017;1499558400;2550.13;2564.65;2500.5;2502.28;4483.14;11362427.97;2534.48
10.07.2017;1499644800;2504;2527.88;2261.85;2323.45;17296.34;41650843.77;2408.07
11.07.2017;1499731200;2326.12;2399;2242.62;2305.98;17580.96;41145883.94;2340.37
12.07.2017;1499817600;2301.55;2408.84;2239.54;2388;12883.55;30256255.57;2348.44
13.07.2017;1499904000;2383.97;2425.16;2312.93;2339.99;8429.85;19957908.68;2367.53
14.07.2017;1499990400;2340;2357.84;2140;2213.37;12659.02;28326253.11;2237.63
15.07.2017;1500076800;2209.44;2219.99;1967.65;1970.51;19886.68;40927009.37;2058.01
16.07.2017;1500163200;1970.51;2044.44;1830;1917.63;25562.71;49010482.23;1917.27
17.07.2017;1500249600;1917.72;2229.97;1910.57;2226;26448.5;55057438.35;2081.68
18.07.2017;1500336000;2226;2392;2164;2303.71;25204.49;57683997.07;2288.64
19.07.2017;1500422400;2308.82;2402.5;2223;2265.21;17009.88;39248446.86;2307.39
20.07.2017;1500508800;2265.51;2938;2265.51;2875.03;30989.89;80388738.23;2594.03
21.07.2017;1500595200;2880;2887.45;2611.39;2670;20724.16;56456355.34;2724.18
22.07.2017;1500681600;2667.01;2882;2644.59;2832.71;12819.63;35805144.41;2792.99
23.07.2017;1500768000;2824.82;2855;2640;2749.02;11001.96;30310788.74;2755.03
24.07.2017;1500854400;2756.8;2800;2701;2759.98;10001.92;27562701.02;2755.74
25.07.2017;1500940800;2759.95;2775.79;2450;2564.82;21326.55;55120720.9;2584.61
26.07.2017;1501027200;2564.74;2608.96;2400;2524.99;17713.67;44091449.21;2489.12
27.07.2017;1501113600;2524.99;2695;2509.63;2666.33;11826.48;30470923.86;2576.5
28.07.2017;1501200000;2666.33;2825;2655.82;2777.01;14069.5;38675840.62;2748.91
29.07.2017;1501286400;2777.01;2785.65;2631.78;2680.56;10782.22;29159800.95;2704.43
30.07.2017;1501372800;2681.6;2774.45;2569.69;2742.37;9678.16;25848893.08;2670.85
31.07.2017;1501459200;2745.76;2889.99;2680.01;2855.81;11114.34;30777296.21;2769.15
01.08.2017;1501545600;2855.81;2929.17;2615;2731;12525.08;34322796.56;2740.33
02.08.2017;1501632000;2732;2760;2650;2703.51;9486.63;25701106.1;2709.19
03.08.2017;1501718400;2703.51;2807.44;2698.83;2793.37;7963.7;21938304;2754.79
04.08.2017;1501804800;2793.34;2877.52;2765.91;2855;7635.82;21650087.64;2835.33
05.08.2017;1501891200;2851.01;3339.66;2848.32;3263.62;16996.27;53861926.03;3169.04
06.08.2017;1501977600;3263.51;3296.51;3146.1;3222.75;5998.74;19412655.97;3236.12
07.08.2017;1502064000;3216.78;3430;3186;3387.55;12046.12;40225852;3339.32
08.08.2017;1502150400;3387.54;3490;3300;3412.41;15835.37;54054824.25;3413.55
09.08.2017;1502236800;3408.46;3423.1;3178.72;3342.99;14286.84;47356464.4;3314.69
10.08.2017;1502323200;3342.99;3448;3311.17;3413.03;9031.12;30658440.51;3394.75
11.08.2017;1502409600;3410;3705;3390.67;3645.06;11927.37;41888022.26;3511.92
12.08.2017;1502496000;3651.74;3934;3586.95;3855.1;12351.07;46799798.4;3789.13
13.08.2017;1502582400;3855.04;4190;3841.71;4053.87;15889.83;63672103.45;4007.1
14.08.2017;1502668800;4053.87;4329.43;3964.96;4306.23;14212.3;59836002.81;4210.15
15.08.2017;1502755200;4320.95;4400;3800;4155.67;25515.72;104651369.05;4101.45
16.08.2017;1502841600;4154.99;4379.78;3926.06;4378.84;12923.64;54194325.8;4193.43
17.08.2017;1502928000;4361.99;4480;4167.21;4276.5;14573.19;63228604.19;4338.69
18.08.2017;1503014400;4260.47;4368;3964.96;4100;17516.99;73224029.24;4180.17
19.08.2017;1503100800;4100;4188;3900;4099.55;15036.18;60604905.58;4030.6
20.08.2017;1503187200;4091.99;4125.95;4000;4058.68;6237.97;25289638.6;4054.14
21.08.2017;1503273600;4058.64;4080;3949.78;3987.52;9782.06;39203908.96;4007.74
